# first column: ARQ timeout in cycles (X coordinate)
# second column: number of issued ARQs per source flit (Y coordinate)
#
# Parameters: Ind. auth. G2C3, no attackers, ARQ limit 1, 5/15 enc/auth units, DOR routing
#
3   0.2067951508511957
4   0.15255584088376375
5   0.1062974758712292
6   0.0674432863274065
7   0.044861798430899213
8   0.029151725439526138
9   0.01931233511638415
10  0.013950002417678062
11  0.009114481790532637
12  0.00684046367461158
13  0.005097116806906084
14  0.0037224812664191473
15  0.002709763891182098
