# c1: attack probabilities of the compromised routers
#
# c2: total injection rate              attackers: [6, 8, 20, 33, 35, 46, 52, 59]
# c3: information rate
# c4: residual error probability
# c5: average end-to-end latency
#
# Parameters: IWA-UC-DOR, 3 enc units, 9 auth units, router queue size 6, ARQ limit 1, ARQ timeout 12
# gnuplot index 0
#
0.0         0.202568125     0.49831692424462143 0.0                     30.9880864902
0.02        0.2089578125    0.483222540435046   0.013210667316884084    31.6221049397
0.04        0.21534625      0.46922398230756285 0.0304744177912137      32.2888015591
0.06        0.22197875      0.4566808196730543  0.05009262574528699     32.7116645253
0.08        0.2252625       0.4468203762277343  0.06908477488578892     33.0704258085
0.1         0.2309853125    0.4369555423572657  0.09281517678932319     33.4626040596
0.12        0.2356409375    0.428668617905155   0.11461680817275831     33.6807472451
0.14        0.2404803125    0.42048790376551093 0.13886165050059646     33.8823254228
0.16        0.243723125     0.41365458242831904 0.16330516431924882     34.0645957714
0.18        0.2480128125    0.40731136622225916 0.18664288347276284     34.2230159736
0.2         0.2519646875    0.4021186004487236  0.20872281906162102     34.4293401671
0.3         0.2643621875    0.382444066438208   0.3157365667261897      34.5197184127
0.4         0.2710534375    0.3718385788780118  0.40529477350170373     34.2449720097
0.5         0.2750803125    0.3666531478874919  0.4794014993817789      33.5004900399


#
# Parameters: IWA-G2C3-DOR, rest as above
# gnuplot index 1
#
0.0         0.2027184375    0.3315019754924857  9.396774087455776e-06   34.2764321993
0.02        0.203765        0.3308928177066719  0.0008756444415308325   34.4860898908
0.04        0.2043453125    0.3297053853388489  0.003358187983588437    34.5438293913
0.06        0.2043203125    0.3280587313118954  0.007285510975391372    34.4810829029
0.08        0.205763125     0.32572496894183545 0.013048088023937988    34.7572071083
0.1         0.20742625      0.3233739702665405  0.019691635761215385    34.8052349586
0.12        0.210863125     0.32057229067434145 0.028212478290911128    35.2013278694
0.14        0.2111346875    0.317655643391141   0.03884189766110774     35.2166171235
0.16        0.21364375      0.31467981160225844 0.04971071684974638     35.3108399706
0.18        0.2150390625    0.3113940054495913  0.06306302061739098     35.5160386799
0.2         0.217945        0.3088264814517424  0.07568609428051548     35.6650735425
0.3         0.229519375     0.29363397970214933 0.15855645773045263     36.4657673751
0.4         0.239685        0.28167829651417486 0.2523585567222373      36.5148572429
0.5         0.24722         0.2727150918210501  0.34846321977337935     36.4439615539


#
# Parameters: IWA-G2C4-DOR, rest as above
# gnuplot index 2
#
0.0         0.2036646875    0.24815298430170915 5.621451458766653e-05   37.3168740474
0.02        0.2030096875    0.2480023274751359  0.00013156493355970854  37.3290997268
0.04        0.2038328125    0.2478057231340023  0.0004938395084108995   37.6852813149
0.06        0.2045134375    0.24767168416500748 0.0012770039618269255   37.4782662933
0.08        0.203295        0.24732377825327725 0.002504613762193514    37.0841750206
0.1         0.2058384375    0.24681827221895813 0.00466427759594065     37.4323474354
0.12        0.2056790625    0.2460827168540794  0.007669237627898566    37.725505966
0.14        0.205433125     0.2453185799515049  0.011507645662237758    37.3818474486
0.16        0.2055471875    0.24433866311111652 0.016406215637115373    37.625728267
0.18        0.2084209375    0.24314225868022496 0.022771722204920585    37.9322153811
0.2         0.2096134375    0.24197816516414888 0.02990926403046936     37.9484731845
0.3         0.21492875      0.23442070918851016 0.08342784102657284     38.0792431161
0.4         0.22297         0.2265593465488631  0.15840464738584545     38.6025858934
0.5         0.22943875      0.21909986870134185 0.2528905906722742      38.494177547


#
# Parameters: IWA-UC-DM, rest as above
# gnuplot index 3
#
0.0         0.2050325       0.4902134417714265  6.281209760999969e-06   31.8036826964
0.02        0.21318875      0.4739095637082163  0.018972712279474238    32.5217308243
0.04        0.21963625      0.46013152428162474 0.03970425623629514     33.0408416848
0.06        0.226303125     0.44700829915627543 0.06422942466078095     33.5957169565
0.08        0.23067         0.43659502752850393 0.08827318173982542     33.9356391226
0.1         0.236609375     0.4263752228752559  0.11400514920493898     34.2914857107
0.12        0.241658125     0.417838475325421   0.14013857592454268     34.6074096151
0.14        0.2467475       0.41004721425748997 0.164576866079089       34.8897540463
0.16        0.2501134375    0.4035993667873203  0.18968660772644397     34.9675961483
0.18        0.253405        0.3982828870779977  0.2115863423666892      35.1328577833
0.2         0.2563871875    0.3929311015200399  0.23647958384256212     35.2527139673
0.3         0.2693403125    0.3741154603435013  0.344886772950794       35.383542585
0.4         0.277190625     0.36492260515664987 0.4334176536089806      35.0665132564
0.5         0.2795265625    0.35988529712627937 0.5069521367896849      34.2863725465


#
# Parameters: IWA-G2C3-DM, rest as above
# gnuplot index 4
#
0.0         0.2051434375    0.32834190711072586 1.8744230291613364e-05  33.643763912
0.02        0.205676875     0.3274614610903632  0.0007968314232815393   33.7746593175
0.04        0.2063834375    0.32643728981401426 0.003297995437148358    33.8940914368
0.06        0.207121875     0.3244406222181988  0.007064648106307923    34.0281001197
0.08        0.2085615625    0.32212011741137586 0.012949958165289412    34.1982551301
0.1         0.210156875     0.3199246991087015  0.02025450739066556     34.3421312355
0.12        0.2126678125    0.3172920796371101  0.02815768302493966     34.6420664562
0.14        0.2136053125    0.314837382614255   0.038046284560859976    34.7023691594
0.16        0.2158321875    0.3118930650693609  0.0497682578998724      34.9185768097
0.18        0.2180309375    0.3090000128995455  0.06116778265616434     35.0291876082
0.2         0.219855625     0.3060289565027049  0.07520504495035754     35.1527022365
0.3         0.2280528125    0.2936353832514124  0.15103972695087284     35.429471802
0.4         0.2372640625    0.28300482716382724 0.23835684678503286     35.6683717228
0.5         0.2434590625    0.27552501768136073 0.3273891583895207      35.4463106497


#
